threshold,addressSize,train_accuracy_mean,validation_accuracy_mean,test_accuracy_mean,train_accuracy_std,validation_accuracy_std,test_accuracy_std
90,38,1.0,0.8402833333333333,0.56965,0.0,0.15971666666666667,0.030449999999999977
40,38,1.0,0.8414833333333334,0.56915,0.0,0.15851666666666664,0.029350000000000043
65,38,1.0,0.8390666666666666,0.5697,0.0,0.16093333333333332,0.02729999999999999
140,38,0.9999166666666667,0.8417666666666667,0.56395,4.999999999999449e-05,0.15816666666666668,0.02435000000000004
115,38,1.0,0.8403166666666666,0.5666,0.0,0.15961666666666668,0.029799999999999993
15,38,1.0,0.8403,0.5640000000000001,0.0,0.1597,0.026600000000000013
165,38,0.9996,0.8371166666666666,0.5662,0.00013333333333337416,0.16231666666666666,0.027400000000000035
15,33,1.0,0.8842333333333333,0.63845,0.0,0.11576666666666668,0.028849999999999987
65,33,0.9999833333333333,0.8817833333333334,0.6381,1.666666666666483e-05,0.11821666666666669,0.024800000000000044
165,33,0.9988833333333333,0.8675666666666666,0.621,0.00045000000000000595,0.13089999999999996,0.023299999999999987
115,33,0.99995,0.8788833333333333,0.6355999999999999,4.999999999999449e-05,0.12108333333333332,0.0257
90,33,1.0,0.88005,0.6288,0.0,0.11985000000000001,0.02729999999999999
115,28,0.9994833333333333,0.9050833333333334,0.68685,0.0003166666666666873,0.09381666666666666,0.02274999999999999
65,28,0.9999333333333333,0.9126666666666667,0.6952,3.333333333332966e-05,0.08710000000000001,0.023899999999999977
40,33,1.0,0.8839833333333333,0.6348,0.0,0.11598333333333333,0.02639999999999998
165,28,0.99705,0.8952166666666667,0.65905,0.0011166666666666547,0.10094999999999998,0.017249999999999988
15,28,0.9999833333333333,0.9195833333333333,0.7088,1.666666666666483e-05,0.08038333333333336,0.02100000000000002
140,33,0.9997,0.8762833333333333,0.626,9.999999999998899e-05,0.12328333333333336,0.023399999999999976
40,28,0.9999666666666667,0.9161666666666667,0.7046,3.333333333332966e-05,0.08383333333333332,0.021399999999999975
90,28,0.9998833333333333,0.9109166666666667,0.6905,8.333333333332416e-05,0.08871666666666667,0.022299999999999986
